一,one,yī,,
贱,cheap,"jiàn<br><br>Axe cutting the price makes it cheap <br><br>贱 jiàn is composed of 戋 jiān and 贝 “a shellfish; shell currency; money,” pointing to the original meaning “cheap (in price); opposite of “expensive”.” 戋 gives the sound",,
止,stop,"zhǐ<br><br>Stop being a jerk <br>止 zhǐ depicts a foot (with the toes pointed upward and the heel pointed downward; in the opposite direction of 夂 zhǐ and 夊 suī),",,
步,footstep,bù<br><br>步 depicts the concept of “walking” using two feet (止 and 𣥂). Its original meaning is “to walk.” ,,
涉,ford/ wade through water ,"shè<br><br>As you wade through water the splashing makes a she sound <br><br>涉 is composed of 氵 “water” and 步 “to go by foot,” which indicate the original meaning “to wade into the water.”",,
频,repeatedly,"pín<br><br>频 was originally composed of a person (页) wading into water (涉, now abbreviated as 步), indicating the original meaning of 濒, “the bank of a body of water,” (i.e., the place where a person wades into a body of water), which was also used to write the meaning “frequently.” The 氵 was removed in order to create a new character 频 to represent “frequently.”",,
肯,agree,"kěn<br><br>Kendra likes horror, bones and stuff, we never agree<br><br>肯 was originally written 肎, an abreviated version of 骨, indicating the original meaning “the space between a skeleton’s bones.” Now, the top is written 止.",,
企,look forward to,"qǐ<br><br>Looking forward to getting back home and centering my qi or getting a up of tea. Or little person standing on toes looking forward to getting big. <br><br>企 depicts a person (人) with their foot (止) drawn exaggeratedly large, indicating the original meaning “to stand on one’s toes.” ",,
岁,years of age,suì,,
武,military,"wǔ<br><br>Foot + weapon = foot soldier, military. <b>Woo</b>hoo<br><br>武 depicts a halberd (戈, though the form has been altered to 񃙰) and a foot (止), indicating the original meaning “power, might.” ",,
赋,levy,"fù<br><br>The military gets paid through levied taxes<br><br>赋 fù is composed of 武 wǔ and 贝 “a shellfish; shell currency; money,” pointing to the original meaning “taxation.” 武 gives the sound.",,
正,correct,"zhèng<br><br>Foot against wall to invade a city in order to make things right/correct<br><br>正 zhèng is composed of a foot (止) coming upon a city's outer wall (now written 一), indicating the original meaning “to send out an army to attack a city or state,” and 一, originally 丁 dīng “city wall.” 丁 also gave the sound. ",,
政,politics,"zhèng<br><br>政 was originally a variant of 正, meaning “to send out an army to attack a city or state,” which is also its original meaning. 攵 (攴) “hand holding a whip or staff” was added to emphasize this meaning. ",,
定,settle on,"dìng<br><br>Like a person going, but under a roof, so they're settled, or fixed, or stable<br><br>定 dìng contains 宀 (a depiction of a building) and 𤴓 zhèng (a variant of 正). 宀 indicates the original meaning “stable and safe,” and 𤴓 gives the sound.",,
走,walk,zǒu,,
超,transcend/surpass/jump past ,"chāo<br><br>Someone summoned me but I just jumped over them. Surpassing their rule <br><br>超 chāo is composed of 召 zhào and 走 “to run; to move one’s legs,” points to the original meaning “to jump, jump onto.” 召 gives the sound.",,
越,surpass,"yuè<br><br>Think of the battle axe being in the form of a crescent (moon = yuè) <br><br>越 yuè is composed of 戉 yuè and 走 “person jogging; movement,” which hints at the original meaning “to cross over.” 戉 gives the sound.",,
是,be,shì,,
题,topic,"tí<br><br>Topic is all in your head<br><br>题 tí is composed of 是 shì and 页 “head,” indicating the original meaning “head.” 是 gives the sound. 页 replaces 頁 in Simplified ",,
建,build,"jiàn<br><br>建 originally depicted a person securely planting a pole into an L-shaped embankment, indicating the original meaning “to fix a large pole into the ground.” 聿 and 廴 are both corruptions of the original form",,
延,prolong,"yán<br><br>So prolonged I'm bored and I start to <b>yawn</b><br><br>延 yán is composed of 񃂋 (a variant of 正 zhèng) and 廴 “to walk a long distance,” pointing to the original meaning “to walk.” 񃂋 gives the sound",,
诞,Brag or give birth,"dàn<br><br>Dan tells prolong tales, bragging (about his birth?) <br><br>诞 dàn is composed of 延 yán “to go out on travel” and 讠 “speech, words; sound,” pointing to the original meaning “to tell tall tales.” 延 also gives the sound.",,
楚,clear,"chǔ<br><br>We can walk along this path that has been cleared of trees <br><br>楚 chǔ is composed of 疋(足) shū and 林 “thick growth of trees,” hinting at the original meaning “a large group of trees.” 疋(足) gives the sound.",,
础,foundation,"chǔ<br><br>Large stone at the bass of a mountain 8s the foundation<br><br>础 chǔ is composed of 出 chū and 石 “stone; rock,” pointing to the original meaning “large stone placed under a pillar.” 出 gives the sound.",,
衣,clothing,yī,,
哀,grief,"""āi<br><br>Someone shouting then changing midd """"aaah"""" to say clothes (yii) to express grief about their clothes<br><br>哀 āi is composed of 衣 yī and 口 “mouth; sound,” pointing to the original meaning “sorrowful.” 衣 gives the sound.""",,
袁,Yuan,yuán,,
远,distant,"yuǎn<br><br>远 yuǎn is composed of 元 yuán and 辶 “movement,” which points to the original meaning “far away; a long distance.” 元 gives the sound.",,
坏,bad,"huài<br><br>坏 huài is composed of 不 huái (also bù, bu) and 土 “dirt; earth,” hinting at the original meaning “to destroy, wreck; to decay, become structurally unsound.” 不 gives the sound. A common variant of 褱, the component that 不 replaces in Simplified Chinese, features the horizontal stroke of 衣 written again under the 罒. The Simplified character uses parts of this (see the diagram below), resulting in 不.",,
初,elementary/initial,"chū<br><br>初 is composed of cloth to make clothes (衤) and knife (刀), indicating the original meaning “to begin cutting material to make clothes.”” ",,
巾,towel,jīn,,
布,cloth,"bù<br><br> In 布 bù, 𠂇 is an empty component. It was originally 父 fù, the sound component.",,
帽,hat,"mào<br><br>帽 mào is composed of 冒 mào “hat” and 巾 “cloth, clothing,” pointing to the original meaning “hat.” 冒 also gives the sound.",,
幕,curtain,"""mù<br><br>Our """"nobody"""" is hiding behind the curtain <br><br>幕 mù is composed of 莫 mò and 巾 “cloth, clothing,” pointing to the original meaning “tent.” 莫 gives the sound.""",,
棉,cotton,"""mián<br><br>棉 mián is composed of 帛 bó """"silk fabric"""" and 木 """"a tree; wood,"""" pointing to the original meaning """"kapok (type of silky cotton)."""" 帛 also gives the sou""",,
帮,help,bāng,,
市,market,"shì<br><br>Looks like a roof under which to buy clothes and other <b>shì</b>t<br><br>市 shì was originally composed of 丂 “axe handle” and 止 zhǐ, which gave the sound, though these components are not recognizable in the modern form. Its original meaning is “place for the buying and selling of goods, marketplace.” ",,
肺,lungs,"fèi<br><br>Right side looks like a pair of lungs with meat to make sure that's clearly not cloth<br><br>肺 fèi is composed of 巿 fú and 月 “meat; parts of the body,” pointing to the original meaning “the respiratory system.” 巿 gives the sound.",,
带 (2),Belt/sash & take or bring,dài,,
滞,stagnant,"zhì<br><br>Wrap a belt around water(like a jerk) , it becomes stagnant<br><br>滞 zhì is composed of 带 dài and 氵 “water; liquid,” pointing to the original meaning “lack of circulation.” 带 gives the sound.",,
刺,thorn,"cì<br><br>刺 cì is composed of 朿 cì “a three-pointed spear; sharp, pointy” and 刂 “knife; blade; cutting,” indicating the original meaning “to stab someone with a knife/weapon.” 朿 also gives the sound.",,
制,system,zhì<br><br>Cut trees down to establish a city/sysyem of governance<br><br>制 depicts a tree with flourishing branches (񁜬) and a knife (刂) to represent the original meaning “to cut a tree in two with a blade.” ,,
云,Cloud,"yún<br><br>云 is composed of “above” (二, here not “two,” but a variant of 上) and 厶, which depicts cirrus clouds (different in origin from 厶 sī “selfish”). Its original meaning is “clouds; dark clouds.” ",,
雨,rain,yǔ,,
雷,thunder,"léi<br><br>There's a de<b>lay</b> between a lighting flash and the sound of thunder<br><br>雷 was originally composed of 畾 léi (now shortened to 田) and 雨 “rain,” which hints at the original meaning “the sound that is made after a flash of lightning; thunder.” 畾 gave the sound.",,
电,electricity,diàn,,
霜,frost,"shuāng<br><br>霜 shuāng is composed of 相 xiāng (also xiàng) and 雨 “rain; precipitation; weather,” pointing to the original meaning “frost.” 相 gives the sound.",,
冰,ice,bīng,,
冬,winter,"dōng<br><br>冬 dōng is composed of 夂 zhōng, originally a depiction of fruit hanging off the end of tree branches, meaning “end” and 񃤊 “ice.” Together, they indicate the original meaning “end; extremity (now written 终).” 夂 also gives the sound.",,
天,heavens,tiān,,
夭,die young,yāo,,
乔,pretend,"qiáo<br><br>also means tall, so maybe someone is pretending to be tall... and Italian because they say ciao<br><br>乔 qiáo is an abbreviation of 喬, which was originally composed of 高 gāo “tall” plus a distinguishing mark on top, indicating the original meaning “tall.” 高 also indicated the sound. ",,
桥,bridge,qiáo<br><br>let's knock over a Tall Tree to pretend It's a bridge,,
娇,attractive,jiāo<br><br>I guess all tall women are attractive,,
立,standing up,lì,,
泣,weep,"qì<br><br>泣 qì is composed of 立 lì and 氵 “water; liquid,” pointing to the original meaning “silent tears.” <b>立 gives the sound.</b>",,
站,station,"zhàn<br><br>站 zhàn contains 占 zhān and 立 “to stand,” indicating the original meaning “to stand up straight and unmoving.” 占 gives the sound.",,
章,chapter,"zhāng<br><br>looks like a person standing <b>zhan</b> on a table reading Facebook, enthralled by what's about to happen<br><br>章 zhāng depicts a piece of raw jade (日) and a chisel (辛) to indicate the original meaning “to work a piece of jade such that its color becomes clear (this meaning is now written 璋 zhāng).” ",,
竞,compete,"jìng<br><br>this is a person running (traditional has double so two people running) in a race. winner is determined by who rings the bell<b>jìng<b><br><br>竞 originally depicted a chisel-like tool or torture implement (now written 立) over a person’s (儿) head, indicating the original meaning “to pursue/chase.” In the earlier forms, there were two such figures, 競, but only one in the simplified form. The 口 was added later.",,
帝,sovereign,"dì<br><br>Standing over a flag (cloth) seems symbolic of being the ruler of a sovereign nation<br><br>帝 depicts the base of a plant (where the branches meet), which is also its original meaning. ",,
童,juvenile,"tóng<br><br>Standing in.... A jail or crib for both male criminals and young kids. Or only juveniles step on and stand on flowers<br><br>童 tóng originally depicted a chisel-like tool or torture implement (辛; used in many characters to indicate criminality) over a person, indicating the original meaning “a male criminal.” 东 dōng was added later as sound component and combined with the person to form 里. 立 is what is left of 辛, so the modern form is composed entirely of empty components. ",,
钟,"bell, clock (with chimes) ","zhōng<br><br>But the metal thing right in the center and it will ring like a bell<br><br>钟 zhōng is composed of 中 zhōng (also zhòng) and 钅 “metal,” hinting at the original meaning “a type of metal instrument that was used during religious ceremonies and feasts.” 中 gives the sound.",,
商,salesman,shāng<br><br>商 shāng was originally comprised of 辛 xīn “a chisel-like tool or torture implement” and 丙 bǐng “the base or foundation of a tool or implement.” The original meaning probably had to do with measurement. 口 kǒu “mouth” was added later as a distinguishing mark to indicate the name of an ancient kingdom. ,,
适,suitable,"shì<br><br>I'm being told the proper/suitable way to walk <br><br>适 shì is composed of 舌 shé and 辶 “movement; to walk along a road,” which points to the original meaning “to go; to arrive.” 舌 gives the sound.",,
敌,enemy,"dí<br><br>I have to hold my tongue when talking to my enemy<br><br>敌 dí is shorthand for 敵, which is composed of 攵 “hand holding a whip” and 啇 dī (simplified to 舌), indicating the original meaning “enemy.” 啇 gave the sound. ",,
匕,"ancient spoon, dagger","""bǐ<br><br>匕 depicts a spoon. This is not to be confused with 𠤎 huà """"upside-down person."""" These two similar characters look identical as components in other characters, which is the result of two separate ancient forms merging into a single form in the modern script. """,,
北,north,"běi<br><br>北 depicts two people (匕 and 񃒫) with their backs facing each other, indicating the original meaning “to turn one’s back on (original form of 背).” ",,
背,back,"bèi<br><br>背 bèi was originally written 北 bèi, which is a depiction of two people back to back, indicating the original meaning “a person’s back.” After 北 was borrowed for its sound to mean “north,” 񁪉 “meat; body part” was added to reinforce the notion “back.” 北 also gives the sound, but is pronounced běi when it means “north.” ",,
比,compare,bǐ,,
昆,descendants (and insect) ,"kūn<br><br>昆 originally depicted the body of an insect (now written 日) and its feet (now written 比), indicating the original meaning “general name for insects.” In the modern form, both components are empty. ",,
混,mix,"hùn<br><br>Put bugs in water and mix them all up<br><br>混 hùn (also hún) is composed of 昆 kūn and 氵 “water; liquid,” pointing to the original meaning “big current of water.” 昆 gives the sound.",,
皆,all,"jiē<br><br>I won't stop until <b>all</b> the bugs are dead <br><br>皆 is composed of 比 and 白, which are both empty components. The original meaning is “all.” ",,
此,this (literary),cǐ<br><br>此 depicts a foot (止) kicking a person (𠤎) to indicate its original meaning “to step on or kick someone.” ,,
些,"somewhat, some, few",xiē<br><br>些 is composed of 此 “this” and 二. 二 is a mark used to distinguish 些 from 此. 些 was originally used as a dialectical character for “this” and as a modal particle. ,,
它,it,tā,,
旨,purpose,"zhǐ<br><br>The purpose of a spoon is to put food into a mouth <br><br>旨 depicts a spoon (匕) going into a mouth (originally 口, now replaced by 日), hinting at the original meaning “to eat a pleasant tasting meal.” 匕 also gives the sound. ",,
脂,grease,"zhī<br><br>Purpose of meat is for grease<br><br>脂 zhī is composed of 旨 zhǐ and 月(肉) “meat; parts of the body,” pointing to the original meaning “fats, oils from plants and animals.” 旨 gives the sound.",,
每,every,měi,,
梅,small plum,"méi<br><br>梅 méi is composed of 每 měi and 木 “a tree; wood,” pointing to the original meaning “name of a type of tree (Phoebe zhennan).” 每 gives the sound",,
海,sea,"hǎi<br><br>Gather every drop of water together and you get an ocean<br><br>海 hǎi is composed of 每 měi and 氵 “water,” which points to the original meaning “sea” or “ocean.” 每 gives the sound.",,
乞,beg,"""qǐ<br><br>乞 depicts clouds, indicating the original meaning """"clouds."""" """,,
吃,eat,chī,,
干,dry,gān,,
复,"duplicate, return, renew, recover",fù<br><br>复 is composed of 夂 “foot” and 񂘒 fù. 夂 indicates the original meaning “to enter or leave a pit-like dwelling.” 񂘒 gives the sound. ,,
腹,abdomen,fù<br><br>Abs are just alsevetal pairs of duplicate muscle groups ,,
欠,lack,"qiàn<br><br>Action done with mouth, yawn, lack, owe money<br><br>Or<br><br>Actions are done with the mouth because you <b>lack</b> hands ",,
吹,blow,chuī<br><br>吹 is composed of 口 “mouth” and 欠 “person with an open mouth” which indicate the original meaning “to purse one’s lips and quickly release air from the mouth.”,,
歌,song,gē,,
软,soft,"ruǎn<br><br>软 ruǎn was originally composed of 车 “cart” and 耎 ruǎn (simplified to 欠; see the diagram below), pointing to the original meaning “to pack plants onto the wheels of a cart to make them softer (i.e., to make the ride smoother).” ",,
次,next,"cì<br><br>Letting out a <b>s</b>igh because you know you're inferior/second/next<br><br>次 is composed of two (二, now written 冫) and a person letting out a sigh (欠), indicating the original meaning “secondary, inferior.” ",,
资,"assets, resources, capital, funds","zī<br><br>投资 investment (tou zi) <br><br>资 zī is composed of 次 cì and 贝 “seashell,” which points to the original meaning, a general term for wealth and goods. 次 gives the sound. Note that seashells were used in many ancient cultures as money. ",,
姿,"looks, appearance, posture",zī<br><br>Women are always being judged for this out in public,,
咨,consult with,"""zī<br><br>咨 zī is composed of 次 cì and 口 """"mouth; opening; entrance; sound,"""" pointing to the original meaning """"to confer, consult."""" 次 gives the sound.""",,
赔,compensate,"péi<br><br>赔 péi is composed of 咅 pǒu and 贝 “a shellfish; shell currency; money,” pointing to the original meaning “to compensate s.o.” 咅 gives the sound.",,
培,cultivate,"péi<br><br>Paying with dirt is an investment into the soil<br><br>培 péi is composed of 咅 pǒu and 土 “dirt; earth,” pointing to the original meaning “to make thicker, deeper; said of land, fields, gardens, landscape, etc.” 咅 gives the sound.",,
音,sound,"yīn<br><br>音 was originally 言 (speech) with a mark in the middle of 口 (mouth) to distinguish it from 言, indicating the original meaning “sound (of a person’s voice).” The two characters have evolved differently over time, such that they now appear quite different from each other. ",,
暗,dark,"àn<br><br>When it's dark it's also quiet and peaceful (an) <br><br>暗 àn is composed of 音 yīn and 日 “sun; light,” hinting at the original meaning “dark (no light).” 音 gives the sound.",,
韵,rhyme,"yùn<br><br>韵 yùn is composed of 匀 yún and 音 “sound; speech,” pointing to the original meaning “harmonizing sound.” 匀 gives the sound",,
识,knowledge,"shí<br><br>Same shì from  认识 (rènshi) <br><br>识 shí (also zhì) is composed of 只 zhǐ and 讠“spoken language,” which points to the original meaning “to know” (i.e., knowledge is passed on and expressed via language). 只 gives the sound.",,
帜,"streamer, flag, banner",zhì,,
竟,unexpectedly,"jìng<br><br>竟然 surprise <br><br>Looks like compete (竞), but surprisingly/unexpectedly it's not<br><br>竟 jìng is a depiction of tattoo knife (辛) over a person (񃪛), indicating the original meaning “to tattoo the face as a punishment for a crime.” Its modern meanings are via sound loan. ",,
镜,mirror,"jìng<br><br>In the past, highly polished metals were used as mirrors<br><br>镜 jìng is composed of 竟 jìng and 钅 “a copper crucible; copper; metal,” pointing to the original meaning “a mirror (In ancient times, mirrors were highly polished metal or jade).” 竟 gives the sound.",,
境,boundary,"jìng<br><br>An unexpected mound of dirt can be a boundary<br><br>境 jìng contains 土 “dirt, earth” to indicate the original meaning “boundary.” 竟 jìng gives the sound.",,
亡,deceased,"wáng<br><br>亡 originally depicted a knife with a mark indicating the tip, indicating the original meaning “tip of a blade.” In the modern form, the blade and the mark have merged into 亡. ",,
盲,blind,"máng<br><br>盲 máng is composed of 亡 wáng “have not; forget” and 目 “eye; sight; consciousness,” pointing to the original meaning “to lose one’s sight.” 亡 also gives the sound.",,
妄,absurd,"wàng<br><br>A dead woman is ridiculous, they are too valuable<br><br>妄 wàng is composed of 亡 wáng and 女 “woman; female; people in general,” pointing to the original meaning “bewildered; confused.” 亡 gives the sound.",,
望,"expect, hope, wish ","wàng<br><br>This is the wàng in 希望(xīwàng) <br><br>望 originally depicted an eye (臣, now written 亡) and a person standing upright and firm (𡈼 tǐng, now written 王 wáng), indicating the original meaning “to look into the distance.” Later, a moon (月) was added to indicate “the first and fifteenth days of the lunar calendar.” In the modern form, both 亡 and 王 give the sound. ",,
方,direction,"fāng<br><br>方 depicts a knife with a mark, indicating the original meaning “to cut apart with a knife.” ",,
妨,hinder/harm,"fáng<br><br>妨 fáng is composed of 方 fāng and 女 “woman; female; people in general,” which indicates the original meaning “to harm, injure.” 方 gives the sound",,
放,release,"fàng<br><br>放心 fàngxīn (be at ease) <br><br>放 depicts a hand holding a whip or staff (攵) and a square (方, which also refers to land), expressing the the original meaning “to banish.” 方 also gives the sound. ",,
激,excite,"jī<br><br>激 jī is composed of 敫 jiǎo and 氵 “water,” which points to the original meaning “the flow of water being interrupted.” 敫 gives the sound.",,
于,(Multipurpose preposition) ,"yú<br><br>Belong 属于shǔyú<br><br>于 depicts a type of wind instrument, which is also its original meaning (now written 竽). ",,
旁,side,"páng<br><br>旁 páng (also bàng) was originally composed of 方 fāng and a depiction of a large tray used to carry people (now written 񁣾), hinting at the original meaning “side; beside.” 方 gives the sound.",,
兑,"convert, exchange","""duì<br><br>兑 is composed of 丷 """"air coming out of the mouth"""" and 兄 """"person with their mouth open,"""" which indicate the original meaning """"to be happy""",,
脱,"undress, shed, remove ","tuō<br><br>脱 tuō is composed of 兑 duì (also yuè, ruì) and 月 “meat,” hinting at the original meaning “to remove the skin and bones from meat.” 兑 gives the sound.",,
说,speak,shuō,,
曾,formerly,"céng<br><br>[indicating that an action once happened or a state once existed]<br><br>(Description for zéng:) <br>曾 depicts a cooking vessel used for steaming food, indicating its original meaning “cookware used to steam food.” ",,
增,increase,"zēng<br><br>增 zēng is comprised of 土 “dirt” and 曾 zēng (and céng) “to add another story to a building (now written 層),” indicating the original meaning “multiple, one after another.” ",,
赠,make a present of,"zèng<br><br>Offer as gift<br><br>Previously I offered money, now I offer gifts<br><br>赠 zèng is composed of 曾 céng “additional; to add” and 贝 “a shellfish; shell currency; money,” pointing to the original meaning “to give, offer as a gift.” 曾 also gives the sound.",,
东,east,dōng,,
栋,building,"dòng<br><br>In the east they make their building from trees<br><br>栋 dòng is composed of 东 dōng and 木 “a tree; wood,” pointing to the original meaning “a buildling’s main support beam or girder.” 东 gives the sound.",,
冻,freeze,"dòng<br><br>冻 dòng is composed of 东 dōng and 冫 “ice; metal plates,” pointing to the original meaning “the freezing of the ground when it comes into contact with the cold.” 东 gives the sound.",,
也,also,yě,,
她,she,tā,,
地,ground,dì,,
池,pond,chí<br><br>I also hear <b>chir</b>ping by the pond,,
虫,insect,chóng,,
蛇,serpent,"shé<br><br>A <b>shé</b>pent<br><br>蛇 shé is composed of 它 tā “a snake” and 虫 “venomous snake; worm; insect,” pointing to the original meaning “snake, serpent.” 它 also gives the sound.",,
蛋,egg,dàn,,
风,wind,fēng,,
讽,mock,"fěng<br><br>if you try to mock me, you're just speaking into the wind because it doesn't affect me",,
己,self,jǐ<br><br>looks like a snake trying to eat itself,,
改,alter,"gǎi<br><br>That guy will have to alter himself<br><br>改 gǎi is composed of 己 jǐ and 攵, a movement indicator, using the idea of movement to express the original meaning “change.” 己 gives the sound",,
记,remember,jì,,
已,already,"""yǐ<br><br>Sounds like you're saying """"e"""" (it <b>already</b> looks the way it sounds) """,,
包,wrap,bāo,,
泡,bubbles,pào<br><br>A bubble is like a thin film of a liquid wrapping air,,
起,"begin, rise","qǐ<br><br>起 qǐ is composed of 己 jǐ and 走 “to jog, to move one’s legs,” which points to the original meaning “to start out on a journey.” 己 gives the sound.",,
家,house,jiā<br><br>A house - just a bunch of animals under a roof,,
场,"site, field","chǎng<br><br>场 is shorthand for 場. It is composed of 土 “dirt,” a meaning component, and 𠃓 yáng, a sound component. 𠃓 is an abbreviation of 昜 (see the diagram below for how that works), but 昜 is only abbreviated this way as a component, not as a standalone character. ",,
汤,soup,tāng,,
羊,sheep,yáng,,
美,beautiful,"měi<br><br>美 depicts a person (大) wearing a headdress (which today looks like 羊), indicating the original meaning “beautiful.”",,
洋,ocean,yáng<br><br>Sacrifice the goat to the ocean,,
鲜,fresh,xiān<br><br>Goats only eat fresh fish,,
达,"reach, finish","dá<br><br>达 depicts a person (大) walking along the road (辶), indicating the original meaning “to go through.” 大 dà also gives the sound.",,
样,appearance,"yàng<br><br>Goat tries to look like tree<br><br>样 yàng is composed of 羊 yáng and 木 “tree,” indicating the original meaning “a type of fruit that grows on trees.” 羊 gives the sound.",,
差,fall short of,"chà<br><br>差 originally depicted a left hand (左) selecting a tree (木), indicating the original meaning “to choose.” ",,
集,gather,"jí<br><br>集 depicts a bird (隹) on a tree (木), indicating the original meaning “a bird descending from the sky to land on a tree.” ",,
进,advance/enter,jìn,,
准,standard,"zhǔn<br><br>准 zhǔn originally contained 氵 “water” (written 冫 in the modern script), indicating the original meaning “flat, level, like water.” 隹 is an abbreviation of 隼 sǔn, which gave the sound.",,
谁,who?,"shéi<br><br>谁 shéi (also shuí) is composed of 隹 zhuī and 讠“spoken language,” which hints at the original meaning “who.” 隹 gives the sound.",,
售,Sell,"shòu<br><br>My bird talks too much during <b>show</b> and tell, I'm gonna try to sell him<br><br>售 shòu is composed of 隹 (an abbreviation of 雔 chóu) and 口 “mouth,” which hints at the original meaning “to sell.”",,
虽,although,"suī<br><br>虽 suī is composed of 口 and 虫 “insect; reptile,” which points to the original meaning, a type of reptile, “lizard.” 口 is shorthand for 唯 wéi. 唯 gave the sound.",,
确,reliable,què<br><br>you can reliably and precisely kill a fish/(tip of a horn?) with<br><br>确 què contains 角 jué (also jiǎo) and 石 “stone” to indicate the original meaning “hard and firm.” 角 gives the sound.,,
午,noon,wǔ,,
许,permit,"xǔ<br><br>也许  yěxǔ (maybe) <br><br>I'll permit you to talk until noon, then I've gotta go<br><br>许 xǔ is composed of 午 wǔ and 讠“speech,” which hints at the original meaning “to agree to, allow.” 午 gives the sound.",,
羽,feathers,yǔ,,
习,"learn, habit, practice","xí<br><br>习 is an abbreviation of 習, which was originally composed of 彗 huì and 日 “sun,” indicating the original meaning “to dry quickly.” 彗 gave the sound. ",,
翔,soar,xiáng<br><br>I watched a goat sprout wings and soar away,,
困,trapped,"kùn<br><br>Your descendents will be trapped in this bug-filled box forever<br><br>困 depicts the outer frame of the main door of a domicile (囗), where the bottom line is the threshhold, and the dwelling’s central support pole (木), indicating the original meaning “threshold.”",,
固,"solid, steady ","gù<br><br>固 gù is composed of 古 gǔ “solid, sturdy,” and 囗 “city wall,” indicating the original meaning “solid, sturdy city walls.” 古 also gives the sound.",,
国,country,guó,,
圆,round,"yuán<br><br>圆 yuán is composed of 员 yuán “a cauldron with a round opening; round” and 囗 “to surround; border,” pointing to the original meaning “round.” 员 also gives the sound. 员 replaces 員 in Simplified Chinese from generalizing the simplification of 貝 to 贝 via regularization of cursive ",,
因,cause/reason,"yīn<br><br>only he knows the cause or reason he's in here<br><br>因 depicts a person 大 inside their clothes 囗 (not a square in the original character), indicating the original meaning “clothed person, underwear (now written 裀).” 因 is the original form of 裀 yīn “clothes with lining.” ",,
园,park,yuán<br><br>looks like a park bench,,
回,return,huí,,
图,picture,tú,,
店,store,diàn,,
库,warehouse,"kù<br><br>car inside of in space, doesn't get more Warehouse than that. Perhaps it is hiding there to stage a coup",,
裤,trousers,"kù<br><br>Man can't stage a good coup without nice trousers<br><br>裤 kù is composed of 库 kù and 衤 “clothing,” pointing to the original meaning “pants.” 库 gives the sound.",,
厂,factory,chǎng,,
床,bed,chuáng,,
麻,"hemp, numbing",má<br><br>a warehouse of plants... probably a hemp farm,,
心,heart,xīn,,
忘,forget,"wàng<br><br>The only way you can forget me is if you have a dead heart<br><br>忘 wàng is composed of 亡 wáng “to forget; to die,” and 心 “heart; mind,” hinting at the original meaning “to forget, not remember.” 亡 gives the sound.",,
忍,endure,"rěn<br><br>It's only so long a person can endure being stabbed in the heart<br><br>忍 rěn is composed of 刃 rèn and 心 “heart; mind,” pointing to the original meaning “to tolerate, be patient, forbearing.” 刃 gives the sound.",,
认,recognize,rèn<br><br>认识 rènshi ,,
志,aspiration,zhì<br><br>I aspire to have the heart of a soldier,,
思,consider,"sī<br><br>意思  yìsi (meaning)<br>思考 sīkǎo (ponder)<br><br>思 sī is composed of 田 (originally 囟 xìn, which gave the sound) and 心, which means “the mind” and points to the original meaning “to think about, miss.” ",,
意,idea,"yì<br><br>意思 yìsi (meaning) <br>注意 zhù yì(pay attention) <br><br>意 yì contains 音 yīn and 心 “heart, mind,” which hints at the original meaning “thought.” 音 gives the sound.",,
想,think,xiǎng,,
息,breath,"xī<br><br>息 xí contains 心 xīn and 自 “nose,” which hints at the original meaning “to breathe.” 心 gives the sound.",,
恐,fear,"kǒng<br><br>恐 kǒng is composed of 巩 gǒng and 心 “heart; mind,” hinting at the original meaning “to be scared, frightened.” 巩 gives the sound.",,
感,feel,"gǎn<br><br>I feel shaken... like a salt shaker? <br><br>感 gǎn contains 咸 xián and 心 “heart,” which hints at the original meaning “to move s.o. emotionally.” 咸 gives the sound.",,
憾,regret,"hàn<br><br>Fans regret the change to han not shooting first<br><br>憾 hàn is composed of 感 gǎn and 忄 “a heart; thought, feeling,” pointing to the original meaning “to hate.” 感 gives the sound.",,
忧,worried,"yōu<br><br>There's a special place in my heart where I worry about you<br><br>忧 yōu is composed of 尤 yóu and 忄 “a heart; thought, feeling,” pointing to the original meaning “to be moved emotionally.” 尤 gives the sound.",,
怕,"dread, scared","pà<br><br>怕 pà contains 白 bái and 忄 “heart,” which hints at the original meaning “to be afraid.” 白 gives the sound.",,
忙,busy,"máng<br><br>So busy until the heart stops<br><br>忙 máng is composed of 亡 wáng and 忄 “heart; mind,” hinting at the original meaning “in a hurry; to have urgent matters.” 亡 gives the sound.",,
惯,accustomed to,"guàn<br><br>I'm accustomed to blood passing through my heat<br><br>惯 guàn is composed of 贯 guàn and 忄 “a heart; thought, feeling,” hinting at the original meaning “to be used to; to have the habit of.” 贯 gives the sound.",,
怀,cherish,"huái<br><br>怀 huái is composed of 不 huái (more commonly bù) and 忄 “heart,” which hints at the original meaning “to miss, long for s.o. or s.t.” 不 gives the sound. A common variant of 褱, the component that 不 replaces in Simplified Chinese, features the horizontal stroke of 衣 written again under the 罒. The Simplified character uses parts of this",,
必,certainly,bì,,
手,hand,shǒu,,
看,look at,kàn,,
拿,hold,ná,,
我,I,wǒ,,
义,righteousness,yì,,
议,deliberate,yì,,
蚁,ant,yǐ,,
抱,embrace,bào,,
抗,combat,kàng,,
批,criticize,pī,,
招,beckon,zhāo,,
打,strike,dǎ,,
指,finger,zhǐ,,
持,support,chí,,
括,include,kuò,,
提,bring up,tí,,
挥,brandish,huī,,
推,push,tuī,,
接,welcome,jiē,,
挂,hang,guà,,
按,press down on,àn,,
掉,drop,diào,,
拉,pull,lā,,
